port_id,name,type,country_id
1,JFK International Airport,Airport,1
2,Heathrow Airport,Airport,2
3,Frankfurt Airport,Airport,3
4,Dubai International Airport,Airport,4
5,Narita International Airport,Airport,5
6,Port of Southampton,Seaport,2
7,Los Angeles International Airport,Airport,1
8,Charles de Gaulle Airport,Airport,2
9,Singapore Changi Airport,Airport,9
10,Suvarnabhumi Airport,Airport,23
11,Toronto Pearson Airport,Airport,10
12,Sydney Airport,Airport,11
13,Indira Gandhi International Airport,Airport,9
14,Beijing Capital Airport,Airport,8
15,Ben Gurion Airport,Airport,4
16,Istanbul Airport,Airport,17
17,Amsterdam Schiphol Airport,Airport,35
18,Madrid Barajas Airport,Airport,6
19,Barcelona Airport,Airport,6
20,Munich Airport,Airport,3
21,Port 21 International,Seaport,47
22,Port 22 International,Airport,3
23,Port 23 International,Airport,48
24,Port 24 International,Airport,30
25,Port 25 International,Seaport,21
26,Port 26 International,Seaport,28
27,Port 27 International,Seaport,12
28,Port 28 International,Airport,38
29,Port 29 International,Seaport,49
30,Port 30 International,Airport,43
31,Port 31 International,Seaport,42
32,Port 32 International,Seaport,17
33,Port 33 International,Airport,2
34,Port 34 International,Airport,15
35,Port 35 International,Seaport,16
36,Port 36 International,Seaport,45
37,Port 37 International,Airport,46
38,Port 38 International,Seaport,15
39,Port 39 International,Airport,20
40,Port 40 International,Seaport,25
41,Port 41 International,Airport,21
42,Port 42 International,Seaport,29
43,Port 43 International,Seaport,25
44,Port 44 International,Airport,9
45,Port 45 International,Seaport,25
46,Port 46 International,Airport,17
47,Port 47 International,Airport,9
48,Port 48 International,Airport,24
49,Port 49 International,Airport,25
50,Port 50 International,Seaport,30
51,Port 51 International,Airport,38
52,Port 52 International,Airport,36
53,Port 53 International,Airport,1
54,Port 54 International,Airport,47
55,Port 55 International,Seaport,27
56,Port 56 International,Airport,22
57,Port 57 International,Airport,11
58,Port 58 International,Airport,37
59,Port 59 International,Airport,14
60,Port 60 International,Seaport,1
